Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne],Cost_GHG [Euro per tonnes CO2eq],Cost_NOx [Euro per tonne],Cost_PM2.5 [Euro per tonne],Cost_PM10 [Euro per tonne],Cost_SOx [Euro per tonne],Cost_NMVOC [Euro per tonne],Cost_NH3 [Euro per tonne],Cost_Pb [Euro per kg],Cost_Cd [Euro per kg],Cost_Hg [Euro per kg],Cost_As [Euro per kg],Cost_Ni [Euro per kg],Cost_Cr [Euro per kg],GDP per capita,External cost GHG,External cost NOx,External cost PM2.5,External cost PM10,External cost SOx,External cost NMVOC,External cost NH3,External cost Pb,External cost Cd,External cost Hg,External cost As,External cost Ni,External cost Cr,Total external cost,GrDP [million Euro],GrDP per capita [Euro],Share external cost [%]
Greece,1999,139945.1,10747768.0,120605.44,444270,71240,98380,555790,315410,78530,359,9,2,3,58,7,105,26670.0,145705,94614,36550.0,3480.0,41129,32531,185175,16903,11044,24,3129,13020.852329525535,12663.5712,11848.6809,10380.0242,9308.12532,20314.1245,1097.6268,3229.86037,11678.629,1666.575,33.806,33.132,1.392,21.903,82277.45029,57667.64971000001,5365.546568366568,58.79266247264105
Spain,1999,595723.0,40303568.0,334621.45,1332780,161830,244190,1511300,968940,500480,623,23,11,15,204,35,105,42135.0,201671,130955,71915.0,3611.0,22806,32531,185175,16903,11044,24,3129,14780.899795273708,35135.25225,56156.6853,32636.41793,31977.90145,108685.1395,3498.84234,11413.94688,20266.813,4259.025,185.933,165.66,4.896,109.515,304496.02765000006,291226.97234999994,7225.835994222644,51.113693386020024
France,1999,1400999.0,60158533.0,518135.24,1765320,344250,450740,714690,2146830,649340,788,14,13,16,204,130,105,63655.0,208191,135189,111252.0,6209.0,42588,32531,185175,16903,11044,24,3129,23288.45020206859,54404.20019999999,112371.4446,71669.75175,60935.08986,79510.69188,13329.66747,27654.09192,25634.428,2592.45,219.739,176.704,4.896,406.77,448909.92468000005,952089.07532,15826.334650148467,32.04213027132782
Croatia,1999,22228.4,4527460.0,17940.86,96010,38530,51020,95490,105240,43780,176,1,0,2,16,5,105,59833.0,192306,124874,79013.0,5231.0,59914,32531,185175,16903,11044,24,3129,4909.684458835639,1883.7903000000001,5744.56633,7409.55018,6371.07148,7544.95137,550.51044,2623.03492,5725.456,185.175,0.0,22.088,0.384,15.645,38076.22302,-15847.823019999996,-3500.378362260516,171.29538347339437
Italy,1999,1175149.5,56909109.0,529814.66,1626180,208680,264880,903210,1807140,461980,1404,10,14,31,106,43,105,108205.0,592650,384838,93754.0,15642.0,93026,32531,185175,16903,11044,24,3129,20649.58528871011,55630.539300000004,175960.8069,123674.202,101935.88944,84679.55034,28267.28388,42976.15148,45673.524,1851.75,236.642,342.364,2.544,134.547,661365.7943399999,513783.7056600001,9028.145312554447,56.279289940556495
Cyprus,1999,9839.8,682862.0,7716.45,22030,2530,4730,49580,13650,9830,22,0,0,0,10,0,105,15126.0,48390,31422,18211.0,889.0,14690,32531,185175,16903,11044,24,3129,14409.646458581674,810.22725,333.22578,122.4267,148.62606,902.90138,12.13485,144.4027,715.682,0.0,0.0,0.0,0.24,0.0,3189.86672,6649.933279999999,9738.326748303463,32.41800361795972
Latvia,1999,7046.7,2399248.0,2190.12,43390,29030,33600,32220,56050,13430,151,1,0,15,9,2,105,19176.0,98627,64043,28699.0,665.0,17100,32531,185175,16903,11044,24,3129,2937.0452741859117,229.96259999999998,832.04664,2863.14181,2151.8448,924.68178,37.27325,229.653,4912.181,185.175,0.0,165.66,0.216,6.258,12538.093879999999,-5491.393879999999,-2288.797940021206,177.9285889849149
Lithuania,1999,10292.3,3536401.0,13845.82,71960,8170,9970,64220,68610,35000,3,0,0,0,12,1,105,18399.0,62144,40353,25598.0,647.0,20560,32531,185175,16903,11044,24,3129,2910.38827327557,1453.8111,1323.99204,507.71648,402.31941,1643.90356,44.39067,719.6,97.593,0.0,0.0,0.0,0.288,3.129,6196.743259999999,4095.55674,1158.114348457655,60.20756546155864
Luxembourg,1999,20547.8,427350.0,8484.35,37230,2400,3030,3440,17020,6130,2,0,0,0,0,0,105,71957.0,247472,160696,150219.0,4640.0,82776,32531,185175,16903,11044,24,3129,48081.90008190008,890.85675,2678.95911,593.9328,486.90888,516.75336,78.9728,507.41688,65.062,0.0,0.0,0.0,0.0,0.0,5818.862579999998,14728.937420000002,34465.748028548034,28.318664674563692
Hungary,1999,46040.1,10253416.0,76107.4,201340,50680,72580,558610,185820,81720,29,2,2,3,17,11,105,68921.0,261548,169836,77634.0,4795.0,74316,32531,185175,16903,11044,24,3129,4490.220625009265,7991.276999999999,13876.55414,13255.25264,12326.69688,43367.12874,891.0069,6073.10352,943.399,370.35,33.806,33.132,0.408,34.419,99196.53382,-53156.43382,-5184.265792005318,215.45681660118026
Malta,1999,3861.0,386397.0,2858.84,9970,790,1060,10510,3850,1940,0,0,0,0,5,0,105,7158.0,150194,97529,17076.0,2486.0,87032,32531,185175,16903,11044,24,3129,9992.313604919293,300.1782,71.36526,118.65326,103.38074,179.46876,9.5711,168.84208,0.0,0.0,0.0,0.0,0.12,0.0,951.5794,2909.4206,7529.614877962303,24.645931105931105
Netherlands,1999,419459.0,15760225.0,225140.36,492910,35420,48320,94260,355330,195900,35,3,1,1,30,5,105,79400.0,294599,191298,135753.0,6051.0,112156,32531,185175,16903,11044,24,3129,26615.038808138845,23639.737799999995,39137.054,10434.69658,9243.51936,12796.07778,2150.10183,21971.3604,1138.585,555.525,16.903,11.044,0.72,15.645,121110.96975,298348.03025,18930.442316020235,28.87313652824233
Austria,1999,203850.6,7982461.0,60287.86,205880,24330,38040,33740,204890,62140,18,1,1,0,0,0,105,75781.0,227195,147529,113124.0,8226.0,75613,32531,185175,16903,11044,24,3129,25537.31236519665,6330.2253,15601.79228,5527.65435,5612.00316,3816.80376,1685.42514,4698.59182,585.558,185.175,16.903,0.0,0.0,0.0,44060.131810000006,159790.46818999999,20017.694817425352,21.61393285572866
Poland,1999,159561.4,38666983.0,369318.54,944910,182720,322200,1554830,818400,374140,461,9,12,33,136,42,105,27011.0,129265,83938,42598.0,3070.0,70606,32531,185175,16903,11044,24,3129,4126.5541715525105,38778.44669999999,25522.96401,23619.3008,27044.8236,66232.64834,2512.488,26416.52884,14996.791,1666.575,202.836,364.452,3.264,131.418,227492.53629000002,-67931.13629000002,-1756.8253589890896,142.57366524109216
Portugal,1999,119603.3,10186634.0,73912.28,298110,75300,132640,331140,237450,73820,342,3,3,4,123,14,105,31431.0,234012,151956,35284.0,2221.0,25361,32531,185175,16903,11044,24,3129,11741.199300966344,7760.7894,9369.89541,17621.1036,20155.44384,11683.94376,527.37645,1872.14902,11125.602,555.525,50.709,44.176,2.952,43.806,80813.47148,38789.82852000001,3807.914225641169,67.56792787489977
Romania,1999,33726.8,22488595.0,114086.63,284340,107910,140240,474710,270410,209970,144,4,2,15,45,15,105,52412.0,217324,141119,61831.0,3748.0,48662,32531,185175,16903,11044,24,3129,1499.7290848983673,11979.096150000001,14902.82808,23451.43284,19790.52856,29351.79401,1013.49668,10217.56014,4684.464,740.7,33.806,165.66,1.08,46.935,116379.38145999999,-82652.58145999999,-3675.3110392178783,345.0649971535989
Slovenia,1999,21227.5,1978334.0,12726.66,60690,13910,17180,96170,55710,20940,8,1,0,1,2,1,105,84406.0,373078,242259,93509.0,10127.0,80401,32531,185175,16903,11044,24,3129,10729.987959565979,1336.2993000000001,5122.60014,5189.51498,4162.00962,8992.76053,564.17517,1683.59694,260.248,185.175,0.0,11.044,0.048,3.129,27510.600679999996,-6283.100679999996,-3175.955465558392,129.59887259451182
Slovakia,1999,19516.1,5393382.0,40244.94,105260,39380,48410,115380,153450,33680,51,1,2,2,3,3,105,50306.0,233434,151580,60571.0,5753.0,104309,32531,185175,16903,11044,24,3129,3618.527298826599,4225.7187,5295.20956,9192.63092,7337.9878,6988.68198,882.79785,3513.12712,1659.081,185.175,33.806,22.088,0.072,9.387,39345.762930000004,-19829.662930000006,-3676.665759999942,201.60668847771845
Finland,1999,126916.0,5159646.0,56970.98,252740,28760,46080,91840,184280,37940,34,2,1,5,37,31,105,14520.0,65365,42445,17104.0,634.0,13649,32531,185175,16903,11044,24,3129,24597.81155528887,5981.9529,3669.7848,1879.8974,1955.8656,1570.83136,116.83352,517.84306,1106.054,370.35,16.903,55.22,0.888,96.999,17339.422639999997,109576.57736,21237.22777880498,13.662125059094201
Sweden,1999,257109.7,8854322.0,29456.02,218590,33870,52990,47060,233170,60400,21,1,1,1,19,7,105,18625.0,53538,34765,20187.0,932.0,17421,32531,185175,16903,11044,24,3129,29037.762575158213,3092.8821000000003,4071.23875,1813.33206,1842.19735,950.00022,217.31444,1052.2284,683.151,185.175,16.903,11.044,0.456,21.903,13957.82532,243151.87468,27461.377017912833,5.428743186274185
Norway,1999,152301.8,4445329.0,38580.12,234060,41560,50320,29390,405040,29260,13,1,1,4,0,12,105,16865.64706,56741,36845,15510.52941,1117.0,9684,32531,185175,16903,11044,24,3129,34261.08618732156,4050.9126,3947.5733508636,2358.15596,1854.0404,455.8544593599,452.42968,283.35384,422.903,185.175,16.903,44.176,0.0,37.548,14109.025290223499,138192.77470977648,31087.187182270758,9.263859842906323
Switzerland,1999,280220.9,7123537.0,51304.11,104700,12130,19530,19260,163490,60930,54,1,2,0,0,0,105,143134.2577,306655,199126,232060.8763,12280.68085,65004,32531,185175,16903,11044,24,3129,39337.32638715852,5386.93155,14986.156781189999,3719.72515,3888.93078,4469.4924775380005,2007.7685121665002,3960.69372,1756.674,185.175,33.806,0.0,0.0,0.0,40395.3539708945,239825.54602910552,33666.638641605365,14.415539301634709
United Kingdom,1999,1578395.1,58579685.0,718766.74,2145630,168660,256170,1354900,1798590,308950,520,8,8,29,250,95,105,55633.0,268250,174188,117414.0,4722.0,102606,32531,185175,16903,11044,24,3129,26944.410848231775,75470.5077,119367.83379,45243.045,44621.73996,159084.2286,8492.94198,31700.1237,16916.12,1481.4,135.224,320.276,6.0,297.255,503136.69573000004,1075258.40427,18355.482865262933,31.87647349703506
Belgium,2000,256376.4,10239085.0,147197.8,360300,40030,54960,170550,232110,93460,98,3,3,4,35,21,105,67427.0,512037,332491,159275.0,7953.0,162801,32531,185175,16903,11044,24,3129,25038.995183651663,15455.768999999998,24293.9481,20496.84111,18273.70536,27164.35125,1845.97083,15215.38146,3188.038,555.525,50.709,44.176,0.84,65.709,126650.96411000003,129725.43588999996,12669.631699512209,49.40039883156173
Bulgaria,2000,14440.0,8190876.0,39208.65,144350,25310,46360,863180,108380,50610,275,4,2,7,8,8,105,39770.0,309647,201070,46368.0,2791.0,58106,32531,185175,16903,11044,24,3129,1762.9371998794757,4116.90825,5740.7995,7837.16557,9321.6052,40023.93024,302.48858,2940.74466,8946.025,740.7,33.806,77.308,0.192,25.032,80106.705,-65666.705,-8017.0551965381965,554.7555747922438
Czechia,2000,67032.5,10278098.0,141399.99,297780,49480,66090,233010,313890,105760,219,2,3,4,14,12,105,49118.0,282451,183409,71277.0,8138.0,131699,32531,185175,16903,11044,24,3129,6521.87788051836,14846.99895,14626.35804,13975.67548,12121.50081,16608.25377,2554.43682,13928.48624,7124.289,370.35,50.709,44.176,0.336,37.548,96289.11811000001,-29256.61811000001,-2846.5011824172147,143.64542290679896
Denmark,2000,178018.1,5330020.0,76598.44,226440,21150,33070,32540,185300,97400,20,1,1,1,8,2,105,25320.0,124113,80593,54274.0,1483.0,25524,32531,185175,16903,11044,24,3129,33399.1429675686,8042.8362,5733.4608,2624.98995,2665.21051,1766.07596,274.7999,2486.0376,650.62,185.175,16.903,11.044,0.192,6.258,24463.602919999998,153554.49708,28809.366021140635,13.742199765080066
Germany,2000,2109090.0,82163475.0,1027336.92,1904660,168880,302670,650750,1803990,626880,357,18,18,8,166,83,105,74688.0,266647,173147,116457.0,5720.0,90548,32531,185175,16903,11044,24,3129,25669.435232626176,107870.3766,142255.24608,45031.34536,52406.40249,75784.39275,10318.8228,56762.73024,11613.567,3333.15,304.254,88.352,3.984,259.707,506032.33032000007,1603057.6696799998,19510.58751689847,23.992922555225242
Estonia,2000,6171.6,1401250.0,13274.54,45660,15380,32130,97120,36610,8600,40,1,1,9,6,8,105,7116.0,26735,17360,6789.0,508.0,15020,32531,185175,16903,11044,24,3129,4404.35325602141,1393.8267,324.91656,411.1843,557.7768,659.34768,18.59788,129.172,1301.24,185.175,16.903,99.396,0.144,25.032,5122.711920000001,1048.8880799999997,748.5374344335413,83.0046004277659
Ireland,2000,108495.3,3777565.0,76064.68,182480,20140,38570,144280,122620,119850,15,1,0,2,32,5,105,29855.0,50219,32609,77934.0,1779.0,15632,32531,185175,16903,11044,24,3129,28720.961783582814,7986.791399999999,5447.9404,1011.41066,1257.72913,11244.31752,218.14098,1873.4952,487.965,185.175,0.0,22.088,0.768,15.645,29751.46629,78743.83371,20845.130053354475,27.421894118915752
Greece,2000,142976.0,10775627.0,124591.03,430350,66520,128180,553490,308440,75270,340,8,3,3,50,7,105,26670.0,145705,94614,36550.0,3480.0,41129,32531,185175,16903,11044,24,3129,13268.462243542766,13082.05815,11477.4345,9692.2966,12127.62252,20230.0595,1073.3712,3095.77983,11060.54,1481.4,50.709,33.132,1.2,21.903,83427.5063,59548.493700000006,5526.22076655029,58.350706622090414
Spain,2000,647851.0,40470182.0,348537.54,1351250,163830,249050,1388810,933890,523540,477,17,9,16,197,35,105,42135.0,201671,130955,71915.0,3611.0,22806,32531,185175,16903,11044,24,3129,16008.10690695683,36596.441699999996,56934.91875,33039.75993,32614.34275,99876.27115,3372.27679,11939.85324,15517.287,3147.975,152.127,176.704,4.728,109.515,293482.20031,354368.79969,8756.293700137054,45.300879416717734
France,2000,1478585.0,60545022.0,529295.95,1708630,316510,420310,616120,2044340,662490,262,14,12,15,177,112,105,63655.0,208191,135189,111252.0,6209.0,42588,32531,185175,16903,11044,24,3129,24421.24804248977,55576.07474999999,108762.84265,65894.53341,56821.28859,68544.58224,12693.30706,28214.12412,8523.122,2592.45,202.836,165.66,4.248,350.448,408345.51682,1070239.48318,17676.754385851902,27.617317693605713
Croatia,2000,23659.5,4497735.0,19106.17,90910,35300,44500,60380,102810,44050,143,1,0,1,13,3,105,59833.0,192306,124874,79013.0,5231.0,59914,32531,185175,16903,11044,24,3129,5260.314358226974,2006.1478499999998,5439.41803,6788.4018,5556.893,4770.80494,537.79911,2639.2117,4651.933,185.175,0.0,11.044,0.312,9.387,32596.527430000002,-8937.027430000002,-1987.0062220206396,137.7735261945519
Italy,2000,1241512.9,56923524.0,536177.49,1504350,194560,248100,756370,1630280,453870,964,10,14,39,107,44,105,108205.0,592650,384838,93754.0,15642.0,93026,32531,185175,16903,11044,24,3129,21810.190458341964,56298.63645,162778.19175,115305.984,95478.3078,70912.71298,25500.83976,42221.71062,31359.884,1851.75,236.642,430.716,2.568,137.676,602515.6193599999,638997.28064,11225.539737139254,48.53075786485988
Cyprus,2000,10804.6,690497.0,8238.6,22420,2540,4760,47600,13280,9920,20,0,0,0,10,0,105,15126.0,48390,31422,18211.0,889.0,14690,32531,185175,16903,11044,24,3129,15647.56979393104,865.053,339.12492,122.9106,149.56872,866.8436,11.80592,145.7248,650.62,0.0,0.0,0.0,0.24,0.0,3151.8915599999996,7652.70844,11082.898897460815,29.171756103881677
Latvia,2000,8632.3,2381715.0,-1669.63,41820,27130,31700,17760,54000,13570,153,1,0,15,7,2,105,19176.0,98627,64043,28699.0,665.0,17100,32531,185175,16903,11044,24,3129,3624.4051030454943,-175.31115000000003,801.94032,2675.75051,2030.1631,509.69424,35.91,232.047,4977.243,185.175,0.0,165.66,0.168,6.258,11444.698019999998,-2812.3980199999987,-1180.8289488876708,132.57993837100193
Lithuania,2000,12475.7,3512074.0,10008.86,61320,7310,9090,39050,60650,33720,3,0,0,0,6,1,105,18399.0,62144,40353,25598.0,647.0,20560,32531,185175,16903,11044,24,3129,3552.2315304290287,1050.9303,1128.22668,454.27264,366.80877,999.6019,39.24055,693.2832,97.593,0.0,0.0,0.0,0.144,3.129,4833.23004,7642.46996,2176.0560739893294,38.741153121668525
Luxembourg,2000,22986.0,433600.0,9058.16,41330,2420,3000,3660,16100,6100,1,0,0,0,0,0,105,71957.0,247472,160696,150219.0,4640.0,82776,32531,185175,16903,11044,24,3129,53011.992619926204,951.1067999999999,2973.98281,598.88224,482.088,549.80154,74.704,504.9336,32.531,0.0,0.0,0.0,0.0,0.0,6168.02999,16817.97001,38786.831203874535,26.833855346732793
Hungary,2000,51238.5,10221644.0,74079.69,188790,50110,74450,427350,190290,85180,19,2,2,3,14,12,105,68921.0,261548,169836,77634.0,4795.0,74316,32531,185175,16903,11044,24,3129,5012.7455035608755,7778.36745,13011.59559,13106.17028,12644.2902,33176.8899,912.44055,6330.23688,618.089,370.35,33.806,33.132,0.336,37.548,88053.25184999999,-36814.751849999986,-3601.6468436975483,171.84978453701802
Malta,2000,4412.4,388759.0,2784.67,9650,740,1020,9120,3810,2050,0,0,0,0,5,0,105,7158.0,150194,97529,17076.0,2486.0,87032,32531,185175,16903,11044,24,3129,11349.962315984967,292.39035,69.0747,111.14356,99.47958,155.73312,9.47166,178.4156,0.0,0.0,0.0,0.0,0.12,0.0,915.82857,3496.5714299999995,8994.187735846628,20.75579208593963
Netherlands,2000,452007.0,15863950.0,223209.22,472190,34840,49360,78200,335240,173250,28,3,1,1,20,5,105,79400.0,294599,191298,135753.0,6051.0,112156,32531,185175,16903,11044,24,3129,28492.71461395176,23436.968100000002,37491.886,10263.82916,9442.46928,10615.8846,2028.53724,19431.027,910.868,555.525,16.903,11.044,0.48,15.645,114221.06638,337785.93362,21292.675129460193,25.269756083423488
Austria,2000,213606.5,8002186.0,63523.56,211670,24020,37740,31570,181170,60810,17,1,1,0,0,0,105,75781.0,227195,147529,113124.0,8226.0,75613,32531,185175,16903,11044,24,3129,26693.51849607095,6669.9738,16040.56427,5457.2239,5567.74446,3571.32468,1490.30442,4598.02653,553.027,185.175,16.903,0.0,0.0,0.0,44150.267060000006,169456.23294,21176.242709179718,20.668971712003145
Poland,2000,186737.9,38263303.0,360077.4,885390,164040,287990,1341100,784400,361690,393,8,11,31,124,39,105,27011.0,129265,83938,42598.0,3070.0,70606,32531,185175,16903,11044,24,3129,4880.3392639678805,37808.127,23915.26929,21204.6306,24173.30462,57128.1778,2408.108,25537.48414,12784.683,1481.4,185.933,342.364,2.976,122.031,207094.48844999998,-20356.58844999998,-532.0133614706493,110.90115528235029
Portugal,2000,128414.4,10249022.0,76323.82,292280,74080,110450,294980,238080,76740,34,3,2,4,106,13,105,31431.0,234012,151956,35284.0,2221.0,25361,32531,185175,16903,11044,24,3129,12529.429637286368,8014.0011,9186.65268,17335.60896,16783.5402,10408.07432,528.77568,1946.20314,1106.054,555.525,33.806,44.176,2.544,40.677,65985.63807999999,62428.761920000004,6091.192107890881,51.38492106804221
Romania,2000,40594.9,22455485.0,107585.9,293740,105540,138530,491570,289740,197020,50,3,3,6,35,15,105,52412.0,217324,141119,61831.0,3748.0,48662,32531,185175,16903,11044,24,3129,1807.794398562311,11296.5195,15395.50088,22936.37496,19549.21507,30394.26467,1085.94552,9587.38724,1626.55,555.525,50.709,66.264,0.84,46.935,112592.03083999998,-71997.13083999997,-3206.215801618178,277.35511317924164
Slovenia,2000,21866.8,1987755.0,12395.41,58720,14050,17420,93030,54940,21760,7,1,0,1,2,1,105,84406.0,373078,242259,93509.0,10127.0,80401,32531,185175,16903,11044,24,3129,11000.752104761401,1301.5180500000001,4956.32032,5241.7459,4220.15178,8699.14227,556.37738,1749.52576,227.717,185.175,0.0,11.044,0.048,3.129,27151.894460000003,-5285.094460000004,-2658.825891520838,124.16949192382975
Slovakia,2000,22389.1,5398657.0,38413.24,108360,43370,52780,117290,152920,33440,48,1,2,2,3,4,105,50306.0,233434,151580,60571.0,5753.0,104309,32531,185175,16903,11044,24,3129,4147.161043941112,4033.3902,5451.15816,10124.03258,8000.3924,7104.37259,879.74876,3488.09296,1561.488,185.175,33.806,22.088,0.072,12.516,40896.33265000001,-18507.232650000013,-3428.1178911718252,182.66179815177927
Finland,2000,136442.0,5171302.0,55190.44,241060,26320,42930,81810,177970,34810,31,1,1,4,35,29,105,14520.0,65365,42445,17104.0,634.0,13649,32531,185175,16903,11044,24,3129,26384.457917947937,5794.9962000000005,3500.1912,1720.4068,1822.16385,1399.27824,112.83298,475.12169,1008.461,185.175,16.903,44.176,0.84,90.741,16171.286959999998,120270.71304,23257.336941451107,11.852132745049177
Sweden,2000,285150.3,8861426.0,26597.73,215370,33270,52240,44570,223030,59720,18,1,1,1,18,7,105,18625.0,53538,34765,20187.0,932.0,17421,32531,185175,16903,11044,24,3129,32178.8276514412,2792.76165,4011.26625,1781.20926,1816.1236,899.73459,207.86396,1040.38212,585.558,185.175,16.903,11.044,0.432,21.903,13370.356430000002,271779.94357,30670.000919716535,4.688880365898266
Norway,2000,185788.4,4478497.0,36281.48,222000,42210,51200,27050,415390,28560,11,1,1,3,0,10,105,16865.64706,56741,36845,15510.52941,1117.0,9684,32531,185175,16903,11044,24,3129,41484.54269367603,3809.5554,3744.17364732,2395.03761,1886.464,419.55982054049997,463.99063,276.57504,357.841,185.175,16.903,33.132,0.0,31.29,13619.697147860501,172168.70285213948,38443.41145079242,7.330757543452929
Switzerland,2000,303354.3,7164444.0,58300.23,102270,11610,19030,16460,153910,61150,32,1,2,0,0,0,105,143134.2577,306655,199126,232060.8763,12280.68085,65004,32531,185175,16903,11044,24,3129,42341.63879290563,6121.52415,14638.340534978997,3560.26455,3789.36778,3819.7220238980003,1890.1195896235001,3974.9946,1040.992,185.175,33.806,0.0,0.0,0.0,39054.30622850049,264299.9937714995,36890.51010399404,12.874156136405679
United Kingdom,2000,1798090.2,58785246.0,718540.52,2048830,153240,241960,1296090,1648300,303490,191,7,8,25,230,92,105,55633.0,268250,174188,117414.0,4722.0,102606,32531,185175,16903,11044,24,3129,30587.44025669298,75446.75460000001,113982.55939,41106.63,42146.52848,152179.11126,7783.2726,31139.89494,6213.421,1296.225,135.224,276.1,5.52,287.868,471999.10926999996,1326091.09073,22558.2298444409,26.250024012699694
Belgium,2001,264334.9,10263414.0,145811.2,347800,39150,53180,164860,226070,91090,75,2,3,4,39,19,105,67427.0,512037,332491,159275.0,7953.0,162801,32531,185175,16903,11044,24,3129,25755.065517185612,15310.176000000001,23451.1106,20046.24855,17681.87138,26258.0765,1797.93471,14829.54309,2439.825,370.35,50.709,44.176,0.936,59.451,122340.40783000001,141994.49217,13835.015538689173,46.28235160396906
Bulgaria,2001,15905.3,8149468.0,44900.21,149640,23760,44450,828500,96460,47750,255,4,1,7,7,7,105,39770.0,309647,201070,46368.0,2791.0,58106,32531,185175,16903,11044,24,3129,1951.6979513263932,4714.52205,5951.1828,7357.21272,8937.5615,38415.888,269.21986,2774.5615,8295.405,740.7,16.903,77.308,0.168,21.903,77572.53543,-61667.23543,-7567.025900340979,487.71500965087114
Czechia,2001,75705.2,10232027.0,141544.32,303040,50410,66100,228720,304310,109670,93,2,3,4,13,12,105,49118.0,282451,183409,71277.0,8138.0,131699,32531,185175,16903,11044,24,3129,7398.846777867181,14862.153600000001,14884.71872,14238.35491,12123.3349,16302.47544,2476.47478,14443.42933,3025.383,370.35,50.709,44.176,0.312,37.548,92859.41968000002,-17154.219680000024,-1676.5221280201883,122.65923566677061
Denmark,2001,184045.6,5349212.0,77673.48,223680,21160,32630,29900,175240,95130,19,1,1,1,7,2,105,25320.0,124113,80593,54274.0,1483.0,25524,32531,185175,16903,11044,24,3129,34406.11439591476,8155.715399999999,5663.5776,2626.23108,2629.74959,1622.7926,259.88092,2428.09812,618.089,185.175,16.903,11.044,0.168,6.258,24223.68231,159821.91769,29877.65631461232,13.16178290054204
Germany,2001,2172540.0,82259540.0,1035219.51,1847670,162560,287620,629560,1709070,631490,336,17,18,8,164,81,105,74688.0,266647,173147,116457.0,5720.0,90548,32531,185175,16903,11044,24,3129,26410.796851040013,108698.04854999999,137998.77696,43346.13632,49800.54014,73316.66892,9775.8804,57180.15652,10930.416,3147.975,304.254,88.352,3.936,253.449,494844.58981000003,1677695.41019,20395.14699681034,22.777237234297186
Estonia,2001,6987.1,1392720.0,13578.34,47760,16290,32020,90760,35490,9450,40,1,1,8,6,8,105,7116.0,26735,17360,6789.0,508.0,15020,32531,185175,16903,11044,24,3129,5016.873456258258,1425.7257,339.86016,435.51315,555.8672,616.16964,18.02892,141.939,1301.24,185.175,16.903,88.352,0.144,25.032,5149.949770000001,1837.1502299999993,1319.1095338617952,73.7065416267121
Ireland,2001,122089.2,3832783.0,79371.83,181630,19820,39490,142320,122660,119980,13,0,0,2,32,4,105,29855.0,50219,32609,77934.0,1779.0,15632,32531,185175,16903,11044,24,3129,31853.92963807239,8334.042150000001,5422.56365,995.34058,1287.72941,11091.56688,218.21214,1875.52736,422.903,0.0,0.0,22.088,0.768,12.516,29683.257169999997,92405.94283,24109.359394987925,24.31276244745645
Greece,2001,152193.8,10835989.0,125164.07,456080,70660,133530,567130,305750,74530,67,9,3,3,54,7,105,26670.0,145705,94614,36550.0,3480.0,41129,32531,185175,16903,11044,24,3129,14045.215439033758,13142.227350000001,12163.6536,10295.5153,12633.80742,20728.6015,1064.01,3065.34437,2179.577,1666.575,50.709,33.132,1.296,21.903,77046.35154,75147.44845999999,6934.987517982898,50.62384377024557
Spain,2001,700993.0,40665545.0,345255.82,1319270,156180,241160,1328100,906570,519510,261,14,8,16,205,35,105,42135.0,201671,130955,71915.0,3611.0,22806,32531,185175,16903,11044,24,3129,17238.00824506348,36251.8611,55587.44145,31496.97678,31581.1078,95510.3115,3273.62427,11847.94506,8490.591,2592.45,135.224,176.704,4.92,109.515,277058.67196000007,423934.32803999993,10424.90216324409,39.523743027391156
France,2001,1538200.0,60979315.0,522536.36,1672430,304440,406050,559460,1949170,657410,228,13,11,15,182,84,105,63655.0,208191,135189,111252.0,6209.0,42588,32531,185175,16903,11044,24,3129,25224.94718085961,54866.3178,106458.53165,63381.66804,54893.49345,62241.04392,12102.39653,27997.77708,7417.068,2407.275,185.933,165.66,4.368,262.836,392384.36847000016,1145815.63153,18790.23454969935,25.509320535040967
Croatia,2001,25947.3,4295406.0,19013.52,90980,37900,46860,59100,100580,46850,110,1,0,1,12,4,105,59833.0,192306,124874,79013.0,5231.0,59914,32531,185175,16903,11044,24,3129,6040.709539447494,1996.4196000000002,5443.60634,7288.3974,5851.59564,4669.6683,526.13398,2806.9709,3578.41,185.175,0.0,11.044,0.288,12.516,32370.22516,-6422.9251600000025,-1495.3010635083162,124.75373221876652
Italy,2001,1304136.8,56960692.0,527505.07,1474990,186220,240300,704640,1566520,453670,727,10,14,39,109,44,105,108205.0,592650,384838,93754.0,15642.0,93026,32531,185175,16903,11044,24,3129,22895.381959193895,55388.032349999994,159601.29295,110363.283,92476.5714,66062.81856,24503.50584,42203.10542,23650.037,1851.75,236.642,430.716,2.616,137.676,576908.04652,727228.7534800001,12767.203626669425,44.23677382004709
Cyprus,2001,11602.9,697549.0,8042.44,22470,2280,4330,45250,13090,10770,19,0,0,0,10,0,105,15126.0,48390,31422,18211.0,889.0,14690,32531,185175,16903,11044,24,3129,16633.813538547114,844.4562,339.88122,110.3292,136.05726,824.04775,11.63701,158.2113,618.089,0.0,0.0,0.0,0.24,0.0,3042.9489399999993,8559.95106,12271.469187110868,26.225762007773913
